live_child_parent_pairs	mismatched_rows
6201	0


no results


support_level	parent_count
1 resolved child	15955
2 resolved children	35299
3-5 resolved children	43747
6+ resolved children	8297

family_signature	conflicted_parents
FA_HSS_HB_IB_EOBD | FA_HSS_HB_IB_EOBD_2	358
FA_FROM_ACADIA_HEALTHCARE_IB_EO | FA_FROM_ACADIA_HEALTHCARE_IB_EO_P2S_RC	310
FA_HSS_INSURANCE_FOLLOWUP_IB_EO_D2S_RC | FA_TO_HSS_INSURANCE_FOLLOWUP_IB_EO_NB_TR	239
FA_GET_FROM_LEXIS_NEXIS_OB_BD_S2D_SP | FA_GET_FROM_LEXIS_NEXIS_OB_BD_S2D_SP2	230
FA_FROM_ACADIA_HEALTHCARE_IB_EO | FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD	210
FA_MEDICAL_CENTER_HEALTH_IB_BD_NB | FA_MEDICAL_CENTER_HEALTH_IB_BD_RT	138
FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD | FA_FROM_ACADIA_HEALTHCARE_IB_EO_P2S_RC	37
FA_FROM_REVSPRING_IB_BD_PULL | FA_FROM_REVSPRING_IB_PULL	20
FA_FROM_ACADIA_HEALTHCARE_IB_EO | FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD | FA_TO_ACADIA_HEALTHCARE_EO_OB_EO_S2D_RTNT	3
FA_FROM_REVSPRING_ENOTICE_IB_D2S_RC | FA_FROM_REVSPRING_ITS_CLIENTDATA_IB_D2S_RC | FA_FROM_REVSPRING_ITS_FILTER_IB_D2S_RC | FA_FROM_REVSPRING_ITS_FROSTARNETT_IB_D2S_RC | FA_FROM_REVSPRING_NCOAUPDT_IB_D2S_RC	2
FA_FROM_VANDERBILT_NEWLIGHT_STATEMENT_REVSPRING_IB_EO_D2S_SP | FA_TO_VANDERBILT_NEWLIGHT_STATEMENT_REVSPRING_OB_EO_S2D_SP	1

agreed_dispatcher	exposed_parents	exposed_null_children
FA_FROM_REVSPRING_IB_BD_PULL	10608	0
FA_FROM_REVSPRING_IB_PULL	936	0
FA_FROM_ACADIA_HEALTHCARE_IB_EO	611	0
FA_TO_HSS_INSURANCE_FOLLOWUP_IB_EO_NB_TR	375	0
FA_HSS_INSURANCE_FOLLOWUP_IB_EO_D2S_RC	372	0
FA_MEDICAL_CENTER_HEALTH_IB_BD_NB	258	0
FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD	246	52
FA_MEDICAL_CENTER_HEALTH_IB_BD_RT	244	0
FA_FROM_ACADIA_HEALTHCARE_IB_EO_P2S_RC	112	0
FA_HSS_HB_IB_EOBD_2	78	70
FA_HSS_HB_IB_EOBD	68	0
FA_TO_VANDERBILT_NEWLIGHT_STATEMENT_REVSPRING_OB_EO_S2D_SP	50	0
FA_TO_ACADIA_HEALTHCARE_EO_OB_EO_S2D_RTNT	28	0
FA_GET_FROM_LEXIS_NEXIS_OB_BD_S2D_SP2	2	0

timing_pattern_type	timing_shape	schedules	live_parent_runs
DAILY	EXPLICIT TIMES	242	645
INTERVAL	INTERVAL	31	401
MIXED	INTERVAL	5	90
MONTHLY	EXPLICIT TIMES	172	10
WEEKLY	EXPLICIT TIMES	181	121


no results


dispatcher_name	runs	min_lag	avg_lag	max_lag
FA_TO_GRADY_HEALTH_HB_OB_BD_S2P_RM	11	0	374.55	1437
FA_FROM_REVSPRING_IB_PULL	8	0	438.00	1330
FA_FROM_ONE_GI_IB_EO_D2S	13	0	410.31	1272
FA_VENTRA_HEALTH_IB_BD_NB	5	0	349.60	1259
FA_HSS_PB_IB_EO	11	0	331.09	1104
FA_FULL_INVENTORY_MEDEVOLVE_IB_EO	4	0	803.50	1083
FA_FROM_RADIOLOGY_PARTNERS_IB_BD_D2D_TR	7	0	133.29	933
FA_HSS_SBO_IB_EOBD_2	6	0	142.33	854
FA_TO_GRADY_HEALTH_PB_OB_BD_S2P_RM	15	0	173.73	790
FA_ZOTEC_IB_BD_NB	10	0	285.40	580
FA_HSS_PB_IB_BD	10	0	209.60	545
FA_RADIOLOGY_PARTNERS_IB_BD_NB_1	5	0	91.60	233
FA_FROM_SENDRIGHT_ACK_RESP_IB_BDEO_D2X_BDL	8	0	13.25	41
FA_FROM_VENTRA_HEALTH_IB_BD_PULL	11	0	0.00	0
FA_SHERIDAN_HEALTHCARE_GE_IB_BD_NB	3	0	0.00	0
FA_TO_ASCENSION_ST_THOMAS_BD_OB_S2P_RT	1	0	0.00	0
FA_TO_MEDICAL_CENTER_HEALTH_SYSTEM_HEALTHFUSE_OB_BD_S2D_RC	1	0	0.00	0
FA_TO_VISPA_MONUMENT_HEALTH_PB_IB_EO_PUSH	6	0	0.00	0
FA_AMSURG_MHS_IB_BD_NB	3	0	0.00	0
FA_FROM_BLUE_CROSS_BLUE_SHIELD_IB_BD_PULL	5	0	0.00	0
FA_FROM_CCI_IB_PULL	4	0	0.00	0
FA_FROM_INCEPTION_TRANSACTIONS_IB_EO_D2S_RPT	6	0	0.00	0
FA_FROM_MERCY_ENS_ARDENT_HB_IB_BD_PULL	5	0	0.00	0
FA_CODY_REGIONAL_HOSPITAL_EPIC_IB_EO	6	0	0.00	0
FA_FROM_VANDERBILT_NEWLIGHT_IB_EO_TR_RT	5	0	0.00	0
FA_FROM_VISPA_MONUMENT_HEALTH_IB_EO_D2S_NT	5	0	0.00	0
FA_MONUMENT_HEALTH_PB_IB_EO	5	0	0.00	0
FA_TO_ACCRETIVE_TX_OB_BD_S2P_RT	1	0	0.00	0
FA_TO_ST_VINCENT_OB_BD_S2P_RT	1	0	0.00	0
FA_MONUMENT_HEALTH_IB_EO	5	0	0.00	0
FA_TO_DENVER_HEALTH_HEALTHFUSE_SECONDARY_OB_BD_S2D_SP	3	0	0.00	0
FA_TO_MEDICAL_CENTER_HEALTH_SYSTEM_OB_BD_S2D_RECON_RPT	1	0	0.00	0
FA_TO_ST_VINCENT_OB_BD_S2P_NT	6	0	0.00	0
FA_TO_WIGL_WIML_BD_OB_S2D_RTNT	1	0	0.00	0
FA_FROM_KINDBODY_IB_EOBD	6	0	0.00	0
FA_FROM_BOONE_HOSPITAL_CENTER_PULL	5	0	0.00	0
FA_FROM_GULF_SHORE_ANESTHESIA_IB_BD_SFTP_PULL	6	0	0.00	0
FA_FROM_PAY_N_SECONDS_IB_BD_D2S_TR	6	0	0.00	0
FA_FROM_PHIN_SOLUTIONS_GET_IB_BD_D2S_SP	6	0	0.00	0
